Province,Centre,Census Subdivision,Singles,Semis,Row,Apartment and Other,Total
Nfld.Lab.,St. John's,Conception Bay South (T),118,18,0,0,136
Nfld.Lab.,St. John's,Portugal Cove-St. Philip's (T),44,0,0,0,44
Nfld.Lab.,St. John's,Pouch Cove (T),15,0,0,0,15
Nfld.Lab.,St. John's,Flatrock (T),15,0,5,0,20
Nfld.Lab.,St. John's,Torbay (T),16,0,0,0,16
Nfld.Lab.,St. John's,Logy Bay-Middle Cove-Outer Cove (T),26,0,0,0,26
Nfld.Lab.,St. John's,Bauline (T),3,0,0,0,3
Nfld.Lab.,St. John's,Paradise (T),108,20,3,1,132
Nfld.Lab.,St. John's,St. John's (CY),196,12,14,92,314
Nfld.Lab.,St. John's,Mount Pearl (CY),16,0,0,0,16
Nfld.Lab.,St. John's,Petty Harbour-Maddox Cove (T),1,0,0,0,1
Nfld.Lab.,St. John's,Bay Bulls (T),5,0,0,0,5
Nfld.Lab.,St. John's,Witless Bay (T),5,0,0,0,5
Nfld.Lab.,St. John's,Total,568,50,22,93,733
Nfld.Lab.,Bay Roberts,Upper Island Cove (T),5,0,0,0,5
Nfld.Lab.,Bay Roberts,Bishop's Cove (T),0,0,0,0,0
Nfld.Lab.,Bay Roberts,Spaniard's Bay (T),6,0,0,3,9
Nfld.Lab.,Bay Roberts,Bay Roberts (T),13,0,0,0,13
Nfld.Lab.,Bay Roberts,North River (T),0,0,0,0,0
Nfld.Lab.,Bay Roberts,Total,24,0,0,3,27
Nfld.Lab.,Corner Brook,"Division No.  5, Subd. F (SNO)",0,0,0,0,0
Nfld.Lab.,Corner Brook,Steady Brook (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Pasadena (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Gillams (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Massey Drive (T),1,0,0,0,1
Nfld.Lab.,Corner Brook,Corner Brook (CY),1,0,0,2,3
Nfld.Lab.,Corner Brook,Humber Arm South (T),1,0,0,0,1
Nfld.Lab.,Corner Brook,McIvers (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Meadows (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Hughes Brook (T),0,0,0,0,0
Nfld.Lab.,Corner Brook,Irishtown-Summerside (T),0,0,0,0,0
